"","F_X_to_Y","F_Y_to_X","SMBB_X_to_Y","SMBB_Y_to_X","AR sieve_X_to_Y","AR sieve_Y_to_X","R.Wald_X_to_Y","R.Wald_Y_to_X","TY_X_to_Y","TY_Y_to_X"
"15013",0,8.51098476965463e-23,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.07500360607504e-118,3.71403809963191e-11,0,1.09171009618231e-21
"15014",2.57350994418778e-289,2.73140497604397e-10,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.03349660742362e-71,2.0770050815889e-06,2.57350994418894e-289,2.7314049760427e-10
"15016",0,2.80390442010141e-07,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0,0.0032393136966586,0,2.8039044201015e-07
"15021",0,5.46999115561307e-05,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0198019801980198,4.403840938156e-39,0.125820332745337,0,5.46999115561464e-05
"15023",0,1.56523874949229e-17,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,7.15930831004008e-88,8.69566055889149e-09,0,1.56523874949175e-17
"15024",0,1.45697073650969e-24,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,6.21842912509443e-306,4.89352378177805e-10,0,1.45697073650876e-24
"15025",0,8.77001172420392e-12,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.20838212649262e-100,1.4883665419241e-07,0,8.77001172420891e-12
"15030",0,0.00221542241816741,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,5.30582962358346e-117,0.103034094863687,0,0.002268328903778
"15039",1.21711937222667e-105,0.00203138241919332,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.89407343376311e-32,0.0482046870023524,1.21711937222606e-105,0.00203138241919414
"16001",0,1.19061203018018e-21,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,3.84518991677483e-286,2.6215356885744e-11,0,1.25624786691007e-20
"16003",0,9.57150836519763e-28,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.80976236072407e-124,1.37510439520158e-15,0,9.03044003397906e-28
"16004",0,1.38984863310275e-13,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0,4.31477115837952e-07,0,1.81656789469934e-12
"17001",0,2.23308702193625e-12,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,9.70695802777739e-118,8.31785741977696e-05,0,7.274947231385e-12
"17003",0,2.67487660581565e-23,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,5.22427167828766e-136,3.76853549580731e-05,0,5.27172577264715e-23
"17004",0,6.61512773781826e-07,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,1.05435443096015e-106,0.00399047920998611,0,4.23545525088993e-07
"17005",0,9.76076960485519e-11,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.51568625220872e-164,0.000533954543745224,0,9.98948700768023e-11
"17015",6.08077604667646e-302,9.09802219922234e-08,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,3.34737984652618e-59,0.00259586516794973,6.08077604664272e-302,9.09802219922791e-08
"17018",7.15215085161382e-209,1.30479998261828e-10,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,8.05855395362107e-44,7.85440442653189e-05,7.62583444469852e-209,4.53469700271536e-10
"18001",0,5.71710840935778e-22,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.67621585017743e-222,4.0047961464683e-12,0,6.42834318501134e-21
"18002",0,3.2284719046394e-11,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.78421665843078e-189,6.477172045815e-06,0,1.0972921625355e-10
"18003",0,3.9069057630842e-25,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.87068129316716e-268,3.69816766049312e-13,0,1.88024651688345e-25
"18008",0,7.86581458608467e-08,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0,0.00886560458129915,0,7.86581458607516e-08
"18010",0,6.83009848937481e-07,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0,0.000589157410565171,0,4.56683773494131e-07
"18011",0,6.39484973635105e-12,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0,4.05550446405889e-06,0,6.3948497363542e-12
"18014",0,3.10853313948077e-07,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,5.10818182090469e-73,0.00321151105424873,0,2.51766504655268e-07
"18017",0,0.0214926379903262,0.0099009900990099,0.0891089108910891,0.0099009900990099,0.0396039603960396,3.41779112943413e-117,0.278221057785877,0,0.0198571296357096
"18018",0,0.000150482706255349,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.42213337568778e-132,0.0507676303740825,0,0.000150482706255347
"19001",0,5.17929981992709e-15,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.19663007200433e-150,1.14932806025362e-06,0,4.89872070673588e-15
"19006",0,9.86281105451896e-12,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,2.19041206816851e-45,0.00111241788757494,0,7.91880660601054e-12
"19010",2.60345286932714e-167,6.66718412123804e-07,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,4.7226718694227e-10,0.0112319191635572,1.01452605777055e-166,4.37118411291033e-07
"19017",0,1.57967789958465e-12,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,3.08426102203309e-44,2.6299730628914e-06,0,1.57967789958461e-12
"19020",0,5.96530720750795e-17,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,3.01144702154856e-78,1.07292367797769e-08,0,1.07973584211188e-16
"20002",0,8.01616674558821e-05,0.0099009900990099,0.0891089108910891,0.0099009900990099,0.0099009900990099,8.15090533480928e-49,0.0521366330902435,0,0.000102705883408676
"20003",0,3.64046749841184e-09,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,7.7758278739659e-45,0.0249210344790931,0,3.57042471926379e-09
"20007",0,3.3176274766579e-07,0.0099009900990099,0.0396039603960396,0.0099009900990099,0.0099009900990099,1.90543025799428e-25,0.0110867212404473,0,8.26340109398937e-07
"2001",0,1.76453839773267e-17,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,4.25914109738656e-127,4.75426530172843e-11,0,2.53600729135224e-17
"2002",0,0.187652115712249,0.0099009900990099,0.168316831683168,0.0099009900990099,0.158415841584158,4.37258677242783e-183,0.475353393771304,0,0.187652115712244
"21003",0,2.78108125841825e-12,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.64323636693975e-150,1.76423985546931e-06,0,4.84358015558432e-12
"21006",0,1.16262315612245e-15,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.15136360852023e-202,1.34280263857107e-08,0,2.22708193469982e-15
"21008",0,2.00984544561413e-13,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,4.28566012367894e-173,5.52421865938993e-06,0,3.7208473389621e-13
"21009",0,8.56772416414043e-06,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0099009900990099,2.31592469432297e-265,0.00119718835328597,0,9.02751205927468e-06
"21011",0,1.9551798248721e-15,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.03077528913082e-93,9.63488291014103e-08,0,6.65440677795678e-15
"21012",0,2.79053423899432e-24,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,2.48997793659409e-153,4.57266714853607e-12,0,2.12151103193877e-24
"21013",0,4.38122737160797e-11,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,3.4575857564848e-86,9.92039015497808e-07,0,6.37596054223998e-11
"21015",0,8.16351093507721e-10,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1.34361273499619e-64,0.00178032843813736,0,3.1171830852185e-10
